Latitude,Longitude,Depth_km,Tectonic_Plate_Region,Seismic_Activity_Level,Foreshock_Count,Aftershock_Count,Energy_Released_Joules,Fault_Type,Magnitude
-22.58277860747475,-85.78595385507386,59.403571728773194,Pacific,Moderate,1,4,1052925711764906.5,Normal,7.961363631240383
81.12857515378491,-91.08763233408007,114.58826785681786,Pacific,High,3,5,1336785203943482.8,Strike-slip,4.296760298867637
41.75890952605292,146.25164898757322,99.945098494185,Eurasian,Low,3,4,395579841887369.9,Normal,8.833360013629195
17.758527155466595,-90.16336805417781,11.69823272869223,South American,High,3,5,703527648820424.4,Normal,9.469469994265761
-61.916644720361425,-82.09809859369284,11.314543962239854,South American,Low,2,1,2253095317795244.0,Normal,7.526535491249146
-61.92098633948352,93.38337447046695,21.85491004889397,Eurasian,Moderate,3,2,2118541979250601.0,Strike-slip,6.497480206105317
-79.5449498097241,-18.0936567178056,31.357744185155916,Indian,High,1,2,1383725972307090.8,Normal,4.027074493884105
65.91170623948832,99.61580050386522,36.75129524877258,Pacific,Moderate,2,5,1438596719993401.8,Reverse,1.1033550144683004
18.20070211377758,-156.46818327682132,79.6941973208606,Pacific,Moderate,2,3,2279693604687140.0,Normal,5.658248807565175
37.45306400328819,-4.474370277581642,4.084511866496546,Eurasian,Low,0,4,1333066011860898.8,Normal,3.7553441498959184
-86.29479102675556,-167.89910393401826,2.4701647979420764,Eurasian,Low,3,10,414887397744433.4,Reverse,3.658082682491092
84.58377338915898,-157.44484675607237,34.82033151890817,Indian,Moderate,3,4,128723175950304.08,Strike-slip,6.68938327438492
59.839675344075914,146.31748320398793,83.61940002731568,African,Moderate,4,6,547980911336173.2,Normal,4.672754227369722
-51.77896007791029,-129.87166639766573,15.047985029458072,South American,Moderate,0,7,91395609182461.55,Reverse,7.26884460294305
-57.27150590272189,11.671445619078156,71.80873833266183,North America,Moderate,0,7,123038947910839.39,Strike-slip,4.083559004168412
-56.98718822638191,-32.00558306374563,21.061101160556298,African,Moderate,2,6,2999180067100621.5,Reverse,1.8577704693790638
-35.23639626728321,-54.95640254681663,152.06187195292992,South American,Low,1,3,1126662937007382.8,Normal,4.652127735712219
4.456157693802808,143.94000444741806,158.22712569923857,Pacific,Low,4,1,1907902578473633.8,Reverse,9.05911262892827
-12.249896644419167,-172.14357716082378,24.69649081114453,African,High,2,6,1029737165278967.2,Strike-slip,7.713721662049025
-37.57875476435245,58.96428702321208,18.29496567018793,Eurasian,Low,3,6,542213145850315.56,Normal,2.3517432956603006
20.133521050028307,166.82199631687814,37.0891717107102,Indian,Moderate,0,5,25480675053162.49,Reverse,4.021704514804484
-64.89110508263246,21.660546046263107,19.259558123285935,South American,Low,2,5,3119868781778667.0,Strike-slip,8.85012885698484
-37.41396326366073,157.25608633191308,78.11388268725594,Indian,Moderate,1,3,73573853953795.78,Strike-slip,1.6132915285390985
-24.0548682071355,-161.18716345703143,122.43502594129627,South American,Moderate,1,7,942026745293719.6,Normal,2.7855521767844236
-7.907402840933528,-29.23440513330189,78.26538255820063,African,Low,0,9,107811529974759.89,Normal,2.8600038128470673
51.33167305074244,-86.34319525366158,121.74851125686199,Pacific,Low,1,2,334281388308345.5,Normal,5.638395880957852
-54.058719211495244,83.0955473930627,35.40775590393086,North America,Moderate,1,10,205570684188066.72,Normal,4.196599877401905
2.562198914450093,173.26695257900883,11.898488884629167,Indian,Moderate,1,6,806801808936503.9,Reverse,1.2188360659666988
16.63462239516764,-87.6491775200708,93.74564983503248,Indian,Low,0,6,2181034453652471.5,Strike-slip,6.16263309119377
-81.63892571040041,55.502856530666804,31.29201543269156,North America,Moderate,3,4,1009564333356383.5,Normal,1.391700780681352
19.358073342258905,-108.68485220649356,77.87647309408649,Indian,Low,1,5,1091203857507167.0,Normal,5.957734387811703
-59.30565773628753,23.518891645779576,22.09152725034469,Indian,High,0,5,2396143266803898.5,Normal,5.063075422034232
